id,wavelandCount,inputsPerMinuteTotal,inputCount,openingsPerKillCount,wavedashCount,airDodgeCount,inputsPerMinuteCount,neutralWinRatioCount,dashDanceCount,openingsPerKillRatio,rollCount,counterHitRatio,spotDodgeCount,damagePerOpeningRatio,killCount,conversionCount,beneficialTradeRatioCount,opponentId,stageId,totalDamage,characterId,inputsPerMinuteRatio
1,0,2.006111111,600,12,14,0,600,9,32,6,1,0.3,0,23.638333,2,12,0,7,32,283.659996,20,299.0861257
2,1,2.587222222,1135,19,36,1,1135,15,33,4.75,4,0.285714286,1,25.19799002,4,19,0,9,28,478.7618103,20,438.6944385
3,5,3.035833333,1366,21,37,4,1366,12,29,7,11,0.428571429,1,25.85238066,3,21,0,9,2,542.8999939,20,449.9588251
4,6,2.516111111,1129,18,42,2,1129,11,34,4.5,2,0.5,0,24.81388897,4,18,1,9,8,446.6500015,20,448.7083241
5,1,0.835555556,466,8,10,0,466,6,22,8,0,0.4,1,28.09875202,1,8,0,9,3,224.7900162,20,557.712766
6,14,3.216944444,1050,17,16,4,1050,9,54,8.5,0,0.5,2,17.73764801,2,17,0,7,31,301.5400162,2,326.3966842
7,11,2.913888889,843,19,34,2,843,11,15,4.75,2,0.571428571,4,26.49210438,4,19,0,9,2,503.3499832,19,289.3040991
8,28,2.374166667,1337,9,77,7,1337,9,39,4.5,1,None,0,9.226666768,2,9,0,9,31,83.04000092,20,563.1449631
9,8,3.715,1609,25,34,1,1609,15,67,6.25,9,0.380952381,0,23.12359894,4,25,2,9,3,578.0899734,20,433.1090175
10,8,0.845277778,339,0,15,5,339,0,20,None,1,None,1,None,0,0,0,2,31,0,16,401.0515938
11,5,2.9575,755,14,19,1,755,6,9,7,4,0.470588235,2,20.99785778,2,14,0,2,28,293.9700089,19,255.2831784
12,16,2.741388889,726,19,25,6,726,12,7,4.75,5,0.583333333,1,23.71578939,4,19,0,9,8,450.5999985,19,264.8292633
13,1,2.440555556,980,14,11,3,980,7,30,3.5,3,0.4375,0,28.95877947,4,14,0,2,2,405.4229126,12,401.5479171
14,7,2.563333333,864,15,15,8,864,12,22,7.5,6,0.333333333,2,19.30600026,2,15,0,2,31,289.590004,9,337.0611183
15,6,2.441111111,810,15,15,2,810,8,61,5,0,0.538461538,2,17.57666626,3,15,0,2,31,263.6499939,9,331.8161129
16,3,2.408888889,572,15,10,2,572,4,8,15,2,0.555555556,1,18.41016846,1,15,0,2,28,276.1525269,19,237.4538745
