"","wavelandCount","wavedashCount","airDodgeCount","neutralWinRatioCount","dashDanceCount","openingsPerKillRatio","rollCount","counterHitRatio","spotDodgeCount","damagePerOpeningRatio","killCount","conversionCount","opponentId","stageId","totalDamage","characterId","inputsPerMinuteRatio"
"1",0,14,0,9,32,6,1,0.3,0,23.638333,2,12,7,32,283.659996,20,299.0861257
"2",1,36,1,15,33,4.75,4,0.285714286,1,25.19799002,4,19,9,28,478.7618103,20,438.6944385
"3",5,37,4,12,29,7,11,0.428571429,1,25.85238066,3,21,9,2,542.8999939,20,449.9588251
"4",6,42,2,11,34,4.5,2,0.5,0,24.81388897,4,18,9,8,446.6500015,20,448.7083241
"5",1,10,0,6,22,8,0,0.4,1,28.09875202,1,8,9,3,224.7900162,20,557.712766
"6",14,16,4,9,54,8.5,0,0.5,2,17.73764801,2,17,7,31,301.5400162,2,326.3966842
"7",11,34,2,11,15,4.75,2,0.571428571,4,26.49210438,4,19,9,2,503.3499832,19,289.3040991
"8",28,77,7,9,39,4.5,1,NA,0,9.226666768,2,9,9,31,83.04000092,20,563.1449631
"9",8,34,1,15,67,6.25,9,0.380952381,0,23.12359894,4,25,9,3,578.0899734,20,433.1090175
"10",8,15,5,0,20,NA,1,NA,1,NA,0,0,2,31,0,16,401.0515938
"11",5,19,1,6,9,7,4,0.470588235,2,20.99785778,2,14,2,28,293.9700089,19,255.2831784
"12",16,25,6,12,7,4.75,5,0.583333333,1,23.71578939,4,19,9,8,450.5999985,19,264.8292633
"13",1,11,3,7,30,3.5,3,0.4375,0,28.95877947,4,14,2,2,405.4229126,12,401.5479171
"14",7,15,8,12,22,7.5,6,0.333333333,2,19.30600026,2,15,2,31,289.590004,9,337.0611183
"15",6,15,2,8,61,5,0,0.538461538,2,17.57666626,3,15,2,31,263.6499939,9,331.8161129
"16",3,10,2,4,8,15,2,0.555555556,1,18.41016846,1,15,2,28,276.1525269,19,237.4538745
"17",9,25,2,9,39,5,1,0.5,1,22.88400084,3,15,2,2,343.2600126,13,369.6380227
"18",8,7,0,8,30,16,0,0.571428571,0,15.49125004,1,16,2,8,247.8600006,9,310.1670644
"19",1,0,2,2,16,4,2,0.666666667,1,6.055000067,1,4,9,31,24.22000027,20,323.3146697
"20",24,28,1,13,17,7,3,0.545454545,0,16.72095244,3,21,0,31,351.1400013,15,497.8996084
"21",1,2,0,3,8,NA,1,0.4,1,9.931666056,0,6,9,8,59.58999634,20,302.9779888
"22",16,59,1,18,23,6.25,4,0.384615385,0,19.04159973,4,25,0,32,476.0399933,15,489.7435897
"23",11,41,7,1,57,NA,1,NA,0,7,0,1,9,31,7,20,453.9880866
"24",2,14,3,7,57,3.5,3,0.5,0,23.80488641,4,14,2,28,333.2684097,12,419.6951934
"25",9,26,2,10,17,NA,6,0.333333333,1,11.72333374,0,15,14,31,175.8500061,0,334.1351783
"26",7,13,4,10,31,4.666666667,2,0.333333333,2,12.80857195,3,14,2,8,179.3200073,2,370.8306082
"27",0,0,1,0,0,0.333333333,1,1,0,5,3,1,2,31,5,2,289.3992933
"28",1,16,0,6,10,3.333333333,5,0.571428571,1,35.02232437,3,10,14,31,350.2232437,20,324.4546498
"29",13,58,2,13,15,9,6,0.6,0,14.23777813,2,18,0,2,256.2800064,15,520.6802503
"30",11,54,5,12,76,7.333333333,8,0.714285714,5,16.36545493,3,22,2,8,360.0400085,22,351.24385
"31",12,16,2,10,46,5.333333333,2,0.545454545,6,19.84878266,3,16,2,31,317.5805225,2,376.9525268
"32",3,7,0,15,66,4.5,3,0.272727273,1,22.4638888,4,18,15,32,404.3499985,0,398.0482416
"33",10,99,4,28,185,11.33333333,8,0.333333333,9,12.5894121,3,34,2,31,428.0400114,22,363.006881
"34",6,15,5,3,19,NA,0,NA,0,16.15999985,0,3,20,31,48.47999954,2,598.0789755
"35",4,8,0,18,71,5.5,4,0.363636364,2,16.49590891,4,22,2,8,362.909996,0,408.3867424
"36",8,12,0,11,21,5,3,0.529411765,0,18.90350037,4,20,20,2,378.0700073,2,398.6697705
"37",3,12,0,6,28,4,3,0.5,2,27.58124971,4,16,20,8,441.2999954,2,401.391162
"38",13,68,3,21,110,7.25,11,0.5,11,17.69172432,4,29,2,3,513.0600052,22,359.3551823
"39",7,20,3,21,21,7.25,5,0.411764706,6,18.89137952,4,29,19,31,547.8500061,20,523.6662107
"40",12,20,0,1,13,1,0,NA,0,7,1,1,19,31,7,20,646.4646465
"41",6,17,0,14,10,6.5,16,0.458333333,5,19.29923102,4,26,19,8,501.7800064,20,513.9373412
"42",7,27,2,3,14,5.5,3,0.615384615,0,20.51181793,2,11,20,31,225.6299973,9,449.1380411
"43",0,5,1,4,9,NA,6,0.4,2,12.84125042,0,8,0,31,102.7300034,0,453.9976825
"44",2,12,1,7,13,2.25,1,0.333333333,0,17.60555596,4,9,2,28,158.4500036,9,275.6192426
"45",5,38,0,19,24,6.5,13,0.466666667,8,22.21807656,4,26,19,28,577.6699905,20,429.5716695
"46",7,13,2,11,21,4.25,4,0.428571429,2,29.15906031,4,17,19,31,495.7040253,20,459.7122302
"47",8,21,1,19,25,6.75,6,0.444444444,1,25.87281743,4,27,19,28,698.5660706,20,458.1361416
"48",7,3,3,11,16,7,2,0.526315789,4,20.63538615,3,21,25,31,433.3431091,12,300.224635
"49",3,36,0,7,18,2.5,4,0.375,4,38.52000027,4,10,19,31,385.2000027,20,417.0804369
"50",7,3,2,13,19,5.25,5,0.571428571,4,28.93603407,4,21,25,31,607.6567154,12,313.367282
"51",5,10,0,12,7,5.333333333,3,0.428571429,1,18.08499885,3,16,2,31,289.3599815,20,421.9349339
"52",2,10,2,14,20,5.75,1,0.5,2,27.51937004,4,23,25,2,632.9455109,12,349.6285064
"53",8,17,3,15,13,4.5,3,0.214285714,1,23.34111023,4,18,2,28,420.1399841,20,446.3521595
"54",12,17,0,11,16,5.666666667,0,0.461538462,1,16.60058874,3,17,2,8,282.2100086,20,399.7353097
"55",10,14,3,5,3,3,1,0.75,0,32.45416768,4,12,2,8,389.4500122,20,424.9882574
"56",9,15,3,14,13,6.5,0,0.458333333,3,21.5592308,4,26,2,3,560.5400009,20,395.7198444
"57",4,24,0,8,33,3.5,0,0.4,0,22.0228578,4,14,2,32,308.3200092,20,486.7276888
"58",14,17,2,11,14,3.75,3,0.375,0,29.47533366,4,15,2,2,442.1300049,20,378.6660576
"59",10,14,4,12,19,4.25,2,0.444444444,0,23.48353038,4,17,2,2,399.2200165,20,446.276673
"60",10,10,0,10,19,4,2,0.454545455,2,24.09500098,4,16,2,31,385.5200157,20,425.9097935
"61",3,19,1,9,45,6.333333333,3,0.588235294,1,19.75894752,3,19,2,32,375.4200029,9,277.9118016
"62",1,17,3,12,57,5.25,1,0.6,1,23.36619023,4,21,2,3,490.6899948,9,270.6473544
"63",4,7,2,7,22,7,3,0.666666667,1,19.79285703,2,14,2,8,277.0999985,9,266.2526464
"64",1,8,0,5,20,NA,0,0.333333333,0,10.36428615,0,7,15,31,72.55000305,2,294.0288264
