stats_overall_1_counterHitRatio_ratio,stats_actionCounts_1_wavedashCount,stats_actionCounts_0_wavelandCount,stats_overall_1_openingsPerKill_ratio,stats_overall_0_inputCount,stats_overall_0_openingsPerKill_count,stats_overall_1_totalDamage,stats_actionCounts_0_wavedashCount,stats_overall_1_killCount,stats_actionCounts_1_airDodgeCount,stats_actionCounts_0_airDodgeCount,stats_overall_0_inputsPerMinute_count,stats_overall_1_inputCount,stats_overall_0_neutralWinRatio_count,stats_overall_1_neutralWinRatio_count,stats_actionCounts_0_dashDanceCount,stats_overall_0_openingsPerKill_ratio,stats_actionCounts_0_rollCount,stats_overall_0_counterHitRatio_ratio,stats_actionCounts_0_spotDodgeCount,stats_overall_1_conversionCount,stats_overall_1_beneficialTradeRatio_count,stats_overall_0_damagePerOpening_ratio,stats_overall_1_damagePerOpening_ratio,stats_actionCounts_1_dashDanceCount,stats_overall_0_killCount,stats_overall_0_conversionCount,stats_overall_0_beneficialTradeRatio_count,settings_players_1_characterId,stats_actionCounts_1_wavelandCount,settings_stageId,stats_overall_1_inputsPerMinute_count,stats_overall_0_totalDamage,stats_actionCounts_1_rollCount,stats_actionCounts_1_spotDodgeCount,stats_overall_1_inputsPerMinute_ratio,settings_players_0_characterId,stats_overall_0_inputsPerMinute_ratio,stats_overall_1_openingsPerKill_count,stats_overall_1_inputsPerMinute_total,stats_overall_0_inputsPerMinute_total
0.7,39,0,3,600,12,195.3699989,14,4,6,0,600,584,9,5,32,6,1,0.3,0,12,0,23.638333,16.28083324,1,2,12,0,7,9,32,584,283.659996,2,0,291.1104957,20,299.0861257,12,2.006111111,2.006111111
0.714285714,21,1,5.666666667,1135,19,309.2100067,36,3,3,1,1135,923,15,7,33,4.75,4,0.285714286,1,17,0,25.19799002,18.18882392,28,4,19,0,9,1,28,923,478.7618103,2,0,356.7532746,20,438.6944385,17,2.587222222,2.587222222
0.571428571,23,5,10,1366,21,366.2499924,37,2,4,4,1366,1209,12,8,29,7,11,0.428571429,1,20,0,25.85238066,18.31249962,34,3,21,0,9,1,2,1209,542.8999939,0,1,398.2432061,20,449.9588251,20,3.035833333,3.035833333
0.5,11,6,7,1129,18,290.3800049,42,2,2,2,1129,766,11,7,34,4.5,2,0.5,0,14,0,24.81388897,20.74142892,31,4,18,1,9,5,8,766,446.6500015,2,0,304.4380658,20,448.7083241,14,2.516111111,2.516111111
0.6,2,1,None,466,8,42,10,0,0,0,466,368,6,1,22,8,0,0.4,1,4,0,28.09875202,10.5,19,1,8,0,9,1,3,368,224.7900162,1,0,440.4255319,20,557.712766,4,0.835555556,0.835555556
0.5,63,14,5.75,1050,17,483.1899872,16,4,5,4,1050,1148,9,15,54,8.5,0,0.5,2,23,1,17.73764801,21.00826031,1,2,17,0,7,17,31,1148,301.5400162,4,0,356.8603748,2,326.3966842,23,3.216944444,3.216944444
0.428571429,2,11,6.5,843,19,253.7418976,34,2,2,2,843,655,11,7,15,4.75,2,0.571428571,4,13,0,26.49210438,19.51860751,48,4,19,0,9,2,2,655,503.3499832,1,1,224.78551,19,289.3040991,13,2.913888889,2.913888889
None,51,28,1.666666667,1337,9,86.6499939,77,3,8,7,1337,1222,9,5,39,4.5,1,None,0,5,0,9.226666768,17.32999878,103,2,9,0,9,29,31,1222,83.04000092,1,0,514.7069147,20,563.1449631,5,2.374166667,2.374166667
0.619047619,31,8,10.33333333,1609,25,431.1999893,34,3,3,1,1609,1380,15,16,67,6.25,9,0.380952381,0,31,0,23.12359894,13.90967707,66,4,25,2,9,8,3,1380,578.0899734,0,2,371.4670256,20,433.1090175,31,3.715,3.715
None,11,8,None,339,0,0,15,0,2,5,339,507,0,0,20,None,1,None,1,0,0,None,None,11,0,0,0,2,8,31,507,0,0,1,599.8028262,16,401.0515938,0,0.845277778,0.845277778
